Nom,distinction reçue,fonction,occupation,pays de nationalité,Né le,Décédé le
Charles Savary,,député de la Manche,personnalité politique,France,21 septembre 1845,9 septembre 1889
Étienne Lamy,docteur honoris causa de l'Université Laval,député français,avocat ou avocate,France,2 juin 1845,9 janvier 1919
Francisque Ordinaire,,député français,personnalité politique,France,26 janvier 1844,29 mai 1896
Paul-Gabriel d’Haussonville,prix Montyon,député de Seine-et-Marne ‎,personnalité politique,France,21 mars 1843,1er septembre 1924
Ernest Duvergier de Hauranne,chevalier de la LH,député du Cher,personnalité politique,France,7 mars 1843,19 août 1877
Georges Clemenceau,grand-croix de la Légion d'honneur‎,maire d'arrondissement,politicien,France,28 septembre 1841,24 novembre 1929
Benoît Malon,,député de la Seine,personnalité politique,France,23 juin 1841,13 septembre 1893
Théodore Lacascade,,député de la Guadeloupe,personnalité politique,France,2 janvier 1841,6 novembre 1906
Gustave Tridon,,député français,personnalité politique,France,1er janvier 1841,29 août 1871
Émile Bouchet,,député des Bouches-du-Rhône,personnalité politique,France,28 décembre 1840,9 juin 1908
Marie-Henri-Guillaume de Chabrol-Tournoël,,député du Puy-de-Dôme,journaliste,France,18 mai 1840,25 décembre 1923
Léon Chiris,officier de la Légion d'honneur,député des Alpes-Maritimes,personnalité politique,France,13 décembre 1839,16 janvier 1900
Amédée-Eugène-Louis de Lur-Saluces,,député de la Gironde,personnalité politique,France,5 juillet 1839,2 octobre 1894
René Joseph Brice,chevalier de la Légion d'honneur‎,député d'Ille-et-Vilaine,personnalité politique,France,23 juin 1839,26 août 1921
Arthur de Chabaud-Latour,chevalier de la LH,député du Cher,personnalité politique,France,6 juin 1839,20 février 1910
Albert Moreau du Breuil de Saint-Germain,,député français,personnalité politique,France,3 décembre 1838,9 avril 1919
Georges Périn,,député français,personnalité politique,France,1er juillet 1838,5 juillet 1903
Jules Méline,,député français,personnalité politique,France,20 mai 1838,21 décembre 1925
Albert Desjardins,,député de l'Oise,personnalité politique,France,28 avril 1838,21 janvier 1897
Léon Gambetta,,député français,personnalité politique,France,2 avril 1838,31 décembre 1882
Léon Lefébure,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,31 mars 1838,4 août 1911
André Folliet,chevalier de la Légion d'honneur‎,député de la Haute-Savoie,personnalité politique,France,18 mars 1838,22 mars 1905
Louis de Clercq,,député du Pas-de-Calais,personnalité politique,France,24 décembre 1837,27 décembre 1901
Francisque Rive,,député français,personnalité politique,France,17 novembre 1837,12 avril 1898
Edmond Berlet,,député français,personnalité politique,France,18 octobre 1837,28 janvier 1886
Germain Casse,,député français,personnalité politique,France,22 septembre 1837,9 décembre 1900
Sadi Carnot,grand-croix de la Légion d'honneur‎,président de la République française,personnalité politique,France,11 août 1837,25 juin 1894
Fidèle Simon,chevalier de la Légion d'honneur‎,député de la Loire-Atlantique,personnalité politique,France,6 août 1837,5 mai 1911
Marie Alexandre Raoul Blin de Bourdon,officier de la Légion d'honneur,député de la Somme,explorateur ou exploratrice,France,20 mai 1837,17 avril 1940
Horace de Choiseul-Praslin,ordre national de la Légion d'honneur,député de Seine-et-Marne ‎,personnalité politique,France,23 février 1837,6 décembre 1915
Pierre Tassin,,député de Loir-et-Cher,personnalité politique,France,21 janvier 1837,20 novembre 1908
Camille Mathéi de Valfons,,député français,personnalité politique,France,11 janvier 1837,1er juillet 1907
Louis Adolphe Rollin,chevalier de la Légion d'honneur‎,député français,Homme politique,France,18 août 1836,29 janvier 1909
Henri de Legge,chevalier de la Légion d'honneur‎,député du Finistère,personnalité politique,France,29 juin 1836,3 janvier 1902
Auguste Balsan,chevalier de la Légion d'honneur‎,député de l'Indre,personnalité politique,France,6 juin 1836,2 mai 1896
Ernest des Roys,,député de la Seine-Maritime,politicien,France,4 avril 1836,28 novembre 1903
Auguste Guinard,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,9 mars 1836,8 janvier 1916
Paul Jozon,,député français,personnalité politique,France,12 février 1836,6 juillet 1881
Paul-Joseph Cottin,,député français,personnalité politique,France,1er février 1836,21 mars 1925
Oscar Bardi de Fourtou,,député de la Dordogne,personnalité politique,France,3 janvier 1836,6 décembre 1897
Louis-Numa Baragnon,,sénateur inamovible,personnalité politique,France,24 novembre 1835,18 mai 1892
Louis Lacave-Laplagne,,sénateur du Gers,personnalité politique,France,3 octobre 1835,25 février 1902
Henri Brisson,,député français,personnalité politique,France,31 juillet 1835,13 avril 1912
Benjamin Vandier,chevalier de la LH,député de la Vendée,personnalité politique,France,9 mars 1835,23 août 1878
Auguste Schneegans,,député français,personnalité politique,France,8 février 1835,2 mars 1898
Alfred Naquet,,député français,chimiste,France,6 octobre 1834,10 novembre 1916
Édouard Millaud,,député français,personnalité politique,France,7 septembre 1834,16 mai 1912
Paul Léon Aclocque,officier de la Légion d'honneur,député français,personnalité politique,France,19 janvier 1834,23 mars 1893
Robert Eugène des Rotours,,député français,personnalité politique,France,23 octobre 1833,28 mars 1895
Paul Louis Gabriel Bethmont,chevalier de la Légion d'honneur‎,député de la Charente-Maritime,politicien,France,12 octobre 1833,28 août 1889
Henri Besnard de Guitry,,député français,personnalité politique,France,12 septembre 1833,21 décembre 1907
Amédée Lefèvre-Pontalis,grand-croix de l'ordre de l'Immaculée Conception de Vila Viçosa,député d'Eure-et-Loir,personnalité politique,France,20 juin 1833,28 avril 1901
Julien du Vergier de La Rochejaquelein,,député des Deux-Sèvres,personnalité politique,France,27 mars 1833,30 juillet 1897
Auguste Scheurer-Kestner,,sénateur inamovible,personnalité politique,France,11 février 1833,19 septembre 1899
Édouard Teutsch,,député français,personnalité politique,France,5 novembre 1832,14 octobre 1908
Félix Renaud,commandeur de la Légion d'honneur‎,député de Saône-et-Loire,personnalité politique,France,30 octobre 1832,28 avril 1907
Joseph Martin d'Auray,,député français,personnalité politique,France,4 octobre 1832,3 novembre 1900
Athanase de Charette de La Contrie,officier de la Légion d'honneur,député français,officier,France,18 septembre 1832,9 octobre 1911
Émile Carron,commandeur de l'ordre de Saint-Grégoire-le-Grand,député d'Ille-et-Vilaine,personnalité politique,France,20 juillet 1832,19 janvier 1926
Jacques Jean Ernest Busson-Duviviers,,député français,Homme politique,France,28 juin 1832,13 décembre 1884
François Girot-Pouzol,,député français,Homme politique,France,18 avril 1832,15 juin 1898
Jules Ferry,,député français,Homme politique,France,5 avril 1832,17 mars 1893
Auguste Boullier,,député français,Homme politique,France,21 février 1832,30 avril 1898
Clément Laurier,,député français,personnalité politique,France,3 février 1832,20 septembre 1878
Emmanuel-Marie-Stanislas Thibaut de La Rochethulon,chevalier de la Légion d'honneur‎,député de la Vienne,personnalité politique,France,17 janvier 1832,14 octobre 1890
Arthur Ranc,,député français,personnalité politique,France,20 décembre 1831,10 août 1908
Anne-Charles Hérisson,chevalier de la Légion d'honneur‎,maire du 6e arrondissement de Paris,personnalité politique,France,12 octobre 1831,23 novembre 1893
Octave de Bastard d'Estang,officier de la Légion d'honneur,député français,personnalité politique,France,21 août 1831,11 mai 1884
Anatole Desbons,,député français,personnalité politique,France,20 juin 1831,25 septembre 1881
Paul Besson,,député français,personnalité politique,France,5 juin 1831,20 juin 1902
Gaston Ganault,,député français,personnalité politique,France,17 mai 1831,1er août 1894
Achille Delorme,,député français,personnalité politique,France,13 avril 1831,10 août 1888
Augustin de Mornay,officier de la Légion d'honneur,député de l'Oise,personnalité politique,France,27 mars 1831,15 septembre 1893
Henri Rochefort,,député français,journaliste,France,31 janvier 1831,1er juillet 1913
Armand Bigot,,député français,personnalité politique,France,18 janvier 1831,15 janvier 1914
Charles Gueidan,,député français,personnalité politique,France,26 octobre 1830,26 février 1924
Émile George,officier de la Légion d'honneur,député français,politicien,France,3 octobre 1830,14 avril 1903
Paul Émile Flye-Sainte-Marie,,député français,personnalité politique,France,21 septembre 1830,4 octobre 1896
Alfred de Meaux,prix Thérouanne,député français,personnalité politique,France,18 septembre 1830,4 novembre 1907
Antonin Lefèvre-Pontalis,prix Halphen,député du Nord,personnalité politique,France,19 août 1830,19 avril 1903
François Césaire de Mahy,commandeur du Mérite agricole,député français,personnalité politique,France,22 juillet 1830,19 novembre 1906
Eugène Razoua,,député français,personnalité politique,France,16 juillet 1830,29 juin 1879
Albert Christophle,officier de la Légion d'honneur,député français,juriste,France,13 juillet 1830,23 janvier 1904
Paul de Salvandy,,député de l'Eure,Homme politique,France,13 juillet 1830,30 mars 1908
Humbert Grange,,député français,personnalité politique,France,8 mai 1830,16 mai 1889
Jacques Kablé,,député français,personnalité politique,France,7 mai 1830,7 avril 1887
René Bérenger,ordre national de la Légion d'honneur,sénateur inamovible,personnalité politique,France,22 avril 1830,29 août 1915
Ernest Cézanne,chevalier de la Légion d'honneur‎,député des Hautes-Alpes,ingénieur ou ingénieure,France,24 mars 1830,21 juin 1876
Émile Guyot,,député français,personnalité politique,France,13 mars 1830,14 août 1906
Jean-Baptiste Othon Péconnet,chevalier de la Légion d'honneur‎,maire de Limoges,politicien,France,15 janvier 1830,23 mai 1871
Marc de Lassus,,député français,personnalité politique,France,6 décembre 1829,19 août 1897
Alphonse Picart,,député français,personnalité politique,France,8 novembre 1829,20 mai 1884
Adrien Joseph Prax-Paris,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,2 octobre 1829,22 septembre 1909
Léon Bonnel,,député français,personnalité politique,France,24 août 1829,18 janvier 1880
Auguste de Brettes-Thurin,,député français,personnalité politique,France,24 août 1829,
Ambroise Jules Joubert-Bonnaire,,député de Maine-et-Loire,industriel,France,20 août 1829,24 décembre 1890
Henri-Frédéric Lévêque,,député français,personnalité politique,France,8 août 1829,24 janvier 1910
Jean Ernoul,commandeur de l'ordre de ST-Grégoire-le-Grand,député français,personnalité politique,France,5 août 1829,5 septembre 1899
Francisque Reymond,officier de la Légion d'honneur,député français,personnalité politique,France,15 mai 1829,1er juin 1905
Roger-Léon Anisson-Duperron,,député de la Seine-Maritime,personnalité politique,France,27 avril 1829,23 juin 1908
Léonce de Guiraud,,député français,personnalité politique,France,23 mars 1829,28 juillet 1873
Alexis Lambert,,député français,personnalité politique,France,30 janvier 1829,22 janvier 1877
Joseph Prosper André,officier de la Légion d'honneur,député français,personnalité politique,France,17 janvier 1829,14 juillet 1883
Agénor Bardoux,,sénateur inamovible,personnalité politique,France,15 janvier 1829,23 novembre 1897
Augustin Tardieu,,député français,politicien,France,23 décembre 1828,16 avril 1883
Joachim Murat,officier de la Légion d'honneur,député du Lot,personnalité politique,France,12 décembre 1828,13 mars 1904
Jean-Marie Georges Girard de Soubeyran,officier de la Légion d'honneur,député de la Vienne,Homme politique,France,3 novembre 1828,2 février 1897
Pierre Lanfrey,,ambassadeur de France en Suisse,personnalité politique,FR,26 octobre 1828,15 novembre 1877
François Merveilleux du Vignaux,,,agronome,France,22 octobre 1828,4 mai 1914
Émile Keller,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,8 octobre 1828,20 février 1909
Charles Floquet,,député français,personnalité politique,France,2 octobre 1828,18 janvier 1896
René Goblet,,député français,personnalité politique,France,26 septembre 1828,13 septembre 1905
Jules Rathier,,député de l'Yonne,politicien,France,7 septembre 1828,1er octobre 1887
Jean-Baptiste Billot,grand-croix de la Légion d'honneur‎,sénateur inamovible,politicien,France,15 août 1828,31 mai 1907
Julien Melsheim,,député français,personnalité politique,France,12 août 1828,7 février 1901
Henri Tolain,,député français,personnalité politique,France,18 juin 1828,3 mai 1897
Amable Ricard,,sénateur inamovible,personnalité politique,France,12 juin 1828,11 mai 1876
Anselme Batbie,chevalier de la Légion d'honneur‎,député français,avocat ou avocate,France,31 mai 1828,12 juin 1887
César-Auguste Ginoux-Defermon,chevalier de la Légion d'honneur‎,député de la Loire-Atlantique,personnalité politique,France,20 avril 1828,21 mai 1889
Louis Godet de La Ribouillerie,,député de la Vendée,personnalité politique,France,4 avril 1828,5 janvier 1900
Émile de Marcère,,député français,Homme politique,France,16 mars 1828,26 avril 1918
Édouard Rencker,chevalier de la Légion d'honneur‎,député du Haut-Rhin,personnalité politique,France,24 décembre 1827,19 janvier 1888
Jean-Baptiste Alexandre Damaze de Chaudordy,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,4 décembre 1827,26 mars 1899
Charles Lambert de Sainte-Croix,,député français,personnalité politique,France,12 novembre 1827,27 octobre 1889
Joseph Philippe,,député français,personnalité politique,duché de Savoie,30 octobre 1827,24 mars 1888
Philippe de Bourgoing La Beaume,commandeur de la Légion d'honneur‎,député de la Nièvre,personnalité politique,France,22 octobre 1827,20 avril 1882
Charles Guinot,,député d'Indre-et-Loire,personnalité politique,France,17 octobre 1827,20 décembre 1893
Arthur de La Borderie,,député d'Ille-et-Vilaine,personnalité politique,FR,5 octobre 1827,17 février 1901
Pierre Tirard,,sénateur inamovible,personnalité politique,France,27 septembre 1827,4 novembre 1893
Jean-Hubert Bouché,,député français,personnalité politique,France,4 septembre 1827,28 avril 1915
Albert Dauphin,commandeur de la Légion d'honneur‎,député de la Somme,personnalité politique,France,23 août 1827,14 novembre 1898
Charles d'Osmoy,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,19 août 1827,7 décembre 1894
Octave-Joseph d'Hespel,,député français,personnalité politique,France,11 août 1827,20 avril 1885
Adrien Léon,chevalier de la Légion d'honneur‎,député de la Gironde,personnalité politique,France,4 août 1827,15 octobre 1896
Paul-Armand Challemel-Lacour,,député français,personnalité politique,France,19 mai 1827,26 octobre 1896
Joseph Hèvre,,député de Seine-et-Oise,personnalité politique,France,6 avril 1827,30 juillet 1907
Émile Lenoël,,député français,personnalité politique,France,23 mars 1827,23 octobre 1893
Léon Journault,,député français,personnalité politique,France,24 février 1827,21 juillet 1892
Sosthène Patissier,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,4 février 1827,25 septembre 1910
Alfred Thomas,,député français,personnalité politique,France,29 octobre 1826,28 janvier 1899
Eugène Arrazat,,député français,personnalité politique,France,3 octobre 1826,24 septembre 1883
Charles Dietz-Monnin,commandeur de la Légion d'honneur‎,sénateur inamovible,industriel,France,13 septembre 1826,6 janvier 1896
Jules Warnier,,député français,personnalité politique,France,26 août 1826,21 juin 1899
Pierre Albert Tachard,,député français,personnalité politique,FR,30 juillet 1826,12 février 1919
Jean-Baptiste Cunit,,député français,personnalité politique,France,7 juillet 1826,2 janvier 1880
Charles Ernest Beulé,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,29 juin 1826,4 avril 1874
Jules Gévelot,,député français,personnalité politique,France,6 juin 1826,17 août 1904
Léon Say,grand-croix de la Légion d'honneur‎,député de la Seine,Homme politique,France,6 juin 1826,21 avril 1896
Albert Ricot,,député de la Haute-Saône,personnalité politique,France,5 mai 1826,23 février 1902
Henri Varroy,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,25 mars 1826,23 mars 1883
Louis Jacques La Caze,,député des Pyrénées-Atlantiques,personnalité politique,France,20 janvier 1826,1er novembre 1897
Ferdinand Moreau,officier de la Légion d'honneur,député de la Seine,personnalité politique,France,20 janvier 1826,26 mars 1884
Gustave Loustalot,,député des Landes,personnalité politique,France,4 janvier 1826,27 juillet 1898
Jules Bozérian,officier de la Légion d'honneur,député français,personnalité politique,France,28 octobre 1825,9 mars 1893
Octave Depeyre,,député français,politicien,France,15 octobre 1825,29 septembre 1891
Alfred Koechlin-Steinbach,,député du Haut-Rhin,personnalité politique,France,19 septembre 1825,3 juillet 1872
Francisque-Joseph Ramey de Sugny,,député de la Loire,personnalité politique,France,14 septembre 1825,12 juin 1908
Charles Mazeau,grand officier de la Légion d'honneur‎,député français,personnalité politique,France,1er septembre 1825,8 février 1905
Charles-Jean-Joseph-Louis Decazes,,député français,personnalité politique,France,28 août 1825,13 janvier 1897
Ernest Le Chatelain,,député français,personnalité politique,France,1er juillet 1825,15 février 1890
Joseph Cheguillaume,,député de la Loire-Atlantique,industriel,France,18 juin 1825,18 février 1897
Gustave de Juigné,,député de la Loire-Atlantique,personnalité politique,France,15 juin 1825,13 octobre 1900
Jean-Baptiste-Gédéon Charreyron,,député français,personnalité politique,France,7 juin 1825,21 août 1898
Eugène-Pierre de Fontaines,,député de la Vendée,politicien,France,15 mai 1825,25 juillet 1886
François Marc Godissart,,Député de la Troisième République française,personnalité politique,France,25 avril 1825,26 juin 1882
Ernest de Juigné,,député de la Sarthe,personnalité politique,France,16 avril 1825,6 juin 1886
Émile Forsanz,,député français,personnalité politique,France,16 avril 1825,11 août 1882
Édouard Morisson de La Bassetière,,député de la Vendée,personnalité politique,France,9 mars 1825,23 octobre 1885
Louis Étienne Delille,,député français,personnalité politique,France,24 février 1825,19 juillet 1890
Frédéric Mestreau,,député de la Charente-Maritime,personnalité politique,France,15 février 1825,19 septembre 1891
Charles Loysel,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,14 février 1825,5 mars 1889
Louis Lempereur de Saint-Pierre,,député français,personnalité politique,France,4 février 1825,2 février 1889
Jean Mercier,,député français,personnalité politique,France,10 janvier 1825,20 décembre 1899
Louis Babin-Chevaye,officier de la Légion d'honneur,député de la Loire-Atlantique,industriel,France,2 novembre 1824,6 avril 1887
Alphonse-Alfred Haëntjens,officier de la Légion d'honneur,député de la Sarthe,patron de presse,France,11 juin 1824,11 avril 1884
Gabriel Louis de Saint-Victor,,député français,personnalité politique,France,24 mars 1824,12 mars 1893
Joseph Nelson Soye,,député français,personnalité politique,France,3 mars 1824,4 octobre 1882
Armand Étienne Méplain,,député français,personnalité politique,France,28 janvier 1824,1er février 1906
Théophile Nicolas Noblot,chevalier de la Légion d'honneur‎,député français,politicien,France,10 janvier 1824,17 juin 1891
Joseph-Pierre Magnin,,sénateur inamovible,politicien,France,1er janvier 1824,22 novembre 1910
Suzanne Melvil-Bloncourt,,député français,politicien,France,23 novembre 1823,9 novembre 1880
Gaston d'Audiffret-Pasquier,prix Montyon,sénateur inamovible,personnalité politique,France,20 octobre 1823,4 juin 1905
Albert Castelnau,,député français,Homme politique,France,25 septembre 1823,6 octobre 1877
Gaspard Médecin,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,22 septembre 1823,21 avril 1892
Albert Grévy,,sénateur inamovible,personnalité politique,France,23 août 1823,10 juillet 1899
Désiré Barodet,,député de la Seine,personnalité politique,France,27 juillet 1823,18 avril 1906
Alexandre Jullien,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,23 juillet 1823,4 février 1898
Félix du Temple,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,18 juillet 1823,4 novembre 1890
Léon Laurent-Pichat,,sénateur inamovible,écrivain ou écrivaine,France,11 juillet 1823,12 juin 1886
Louis Cyprien Poujade,,député français,personnalité politique,France,1er juillet 1823,14 octobre 1898
Edmond de Pressensé,chevalier de la Légion d'honneur‎,sénateur inamovible,personnalité politique,France,21 juin 1823,8 avril 1891
Jean Lamorte,,député français,personnalité politique,France,7 juin 1823,29 avril 1884
Bernard Roudier,,député de la Gironde,Homme politique,France,25 avril 1823,11 janvier 1896
Ambroise Vente,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,2 avril 1823,19 décembre 1882
Alfred Chanzy,grand-croix de la Légion d'honneur‎,sénateur inamovible,personnalité politique,FR,18 mars 1823,4 janvier 1883
Pierre Louis Jérôme Gustave de Combarieu,officier de la Légion d'honneur,député français,personnalité politique,France,7 mars 1823,9 novembre 1897
Pierre Dufaur de Gavardie,,,as de l'aviation,France,2 février 1823,18 mai 1910
Charles Lepère,,député français,personnalité politique,France,1er février 1823,6 septembre 1885
Auguste Le Provost de Launay,commandeur de la Légion d'honneur‎,député du Calvados,personnalité politique,France,25 janvier 1823,30 mars 1886
